순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
13,윤준호,두산,0.243,49,90,74,8,18,2,0,2,26,9,5,2,8,0,1,23,2,0.351,0.318,0.669,3,0.333,1.000
14,안재석,두산,0.234,38,147,137,18,32,10,1,3,53,16,0,1,8,0,1,23,3,0.387,0.279,0.666,10,0.231,0.000
15,이유찬,두산,0.232,47,96,82,11,19,2,1,1,26,14,1,3,7,0,3,27,0,0.317,0.305,0.622,3,0.172,0.000
16,김기연,두산,0.216,22,41,37,5,8,1,0,0,9,6,1,1,1,0,1,5,2,0.243,0.250,0.493,2,0.333,0.000
17,강승호,두산,0.215,50,136,121,15,26,2,0,3,37,11,1,3,6,0,5,39,4,0.306,0.274,0.580,7,0.091,0.250
18,양석환,두산,0.213,29,107,94,6,20,4,0,1,27,7,0,5,8,1,0,30,1,0.287,0.262,0.549,5,0.000,0.000
19,임종성,두산,0.167,12,18,18,2,3,0,0,1,6,3,0,0,0,0,0,6,0,0.333,0.167,0.500,0,0.333,0.500
19,홍성호,두산,0.167,3,12,12,1,2,0,0,0,2,0,0,0,0,0,0,6,1,0.167,0.167,0.334,0,0.000,0.000
21,김대한,두산,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000
21,김동주,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
21,김정우,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
21,박성재,두산,0.000,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000
21,박신지,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
21,박정수,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
21,양재훈,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
21,윤태호,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
21,이영하,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
21,최주형,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
21,최지강,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
1,박재엽,롯데,1.000,2,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,2.000,0,1.000,1.000
2,레이예스,롯데,0.348,68,303,270,32,94,16,1,10,142,49,0,3,28,6,2,35,2,0.526,0.409,0.935,27,0.394,0.000
3,황성빈,롯데,0.298,49,191,171,27,51,3,4,0,62,17,3,1,15,0,1,28,1,0.363,0.356,0.719,16,0.333,0.500
4,고승민,롯데,0.298,38,172,161,24,48,9,2,4,73,23,0,2,9,1,0,33,0,0.453,0.331,0.784,16,0.333,0.000
5,박승욱,롯데,0.293,51,97,92,9,27,5,0,1,35,16,0,0,4,0,1,26,1,0.380,0.330,0.710,6,0.379,0.500
6,전민재,롯데,0.277,65,236,213,23,59,8,0,8,91,37,2,3,16,0,2,44,5,0.427,0.329,0.756,17,0.273,0.000
7,장두성,롯데,0.272,62,159,147,21,40,4,1,0,46,13,2,1,7,0,2,36,0,0.313,0.312,0.625,12,0.375,0.250
8,나승엽,롯데,0.260,36,146,127,16,33,7,0,5,55,22,0,2,17,0,0,22,5,0.433,0.342,0.775,11,0.310,1.000
